Title,Msg,DAC,FI,Version,# slots (max),State,Registrant,Permitted as from,Not to be used after
Monitoring aids to navigation,6,0,0,,1,in force,"Zeni Lite Buoy Co., Ltd",1/3/02,
Text telegram using 6-bit ASCII,6,1,0,,5,replaced,ITU-R.M.1371-1,1/1/98,31/05/2007
Text using 6-bit ASCII,6,1,0,,5,in force,ITU-R.M.1371-3,1/6/07,
Application acknowledgement,6,1,1,,1,replaced,ITU-R.M.1371-1,1/1/98,1/4/10
Interrogation for specified FMs within the IAI branch,6,1,2,,1,in force,ITU-R.M.1371-1,1/1/98,
Capability interrogation,6,1,3,,1,in force,ITU-R.M.1371-1,1/1/98,
Capability reply,6,1,4,,1,in force,ITU-R.M.1371-1,1/1/98,
Application acknowledgement to an addressed binary message,6,1,5,,1,deprecated,ITU.R-M.1371-4,1/4/10,
Dangerous cargo indication,6,1,12,,2,deprecated,IMO Circ. 236,1/5/04,1/1/13
Tidal window,6,1,14,,3,deprecated,IMO Circ. 236,1/5/04,1/1/13
Number of persons on board,6,1,16,,1,deprecated,IMO Circ. 236,17/05/2004,1/1/13
Number of persons on board,6,1,16,,1,in force,IMO Circ. 289,1/6/10,
Ship waypoints (WP) and/or route plan report,6,1,17,,5,deprecated,ITU-R.M.1371-1,1/1/98,
Advice of waypoints (AWP) and/or route plan of VTS,6,1,18,,5,deprecated,ITU-R.M.1371-1,1/1/98,1/1/98
Clearance time to enter port,6,1,18,,2,in force,IMO Circ. 289,1/6/10,
Extended ship static and voyage related data,6,1,19,,1,in force,ITU-R.M.1371-1,1/1/98,
Berthing data,6,1,20,,2,in force,IMO Circ. 289,1/6/10,
Area notice,6,1,23,,5,in force,IMO Circ. 289,4/3/11,
Dangerous cargo indication,6,1,25,,3,in force,IMO Circ. 289,1/6/10,
Route information,6,1,28,,5,in force,IMO Circ. 289,1/6/10,
Text description,6,1,30,,5,in force,IMO Circ. 289,1/6/10,
Tidal window,6,1,32,,3,in force,IMO Circ. 289,1/6/10,
Number of persons on board,6,1,40,,1,in force,ITU-R.M.1371-1,1/1/98,
ETA at lock/bridge/terminal,6,200,21,,2,in force,EU,10/10/07,
RTA at lock/bridge/terminal,6,200,22,,2,in force,EU,10/10/07,
Number of persons on board,6,200,55,,1,in force,EU,10/10/07,
Route suggestion,6,219,2,,5,draft,Danish Maritime Authority,3/11/11,
Route suggestion reply,6,219,3,,1,draft,Danish Maritime Authority,3/11/11,
Aids to Navigation monitoring data,6,235,10,,1,in force,UK Trinity House,15/01/2009,
Aids to Navigation monitoring data,6,250,10,,1,in force,UK Trinity House,15/01/2009,
Water Level Message,6,316,1,,5,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Wind Information Message,6,316,1,,5,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Water Flow Message (Seaway),6,316,1,,5,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Weather Station Message,6,316,1,,5,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Lockage Order Message (Seaway),6,316,2,,5,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Estimated Lock Times Message (Seaway),6,316,2,,3,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Version Message (Seaway),6,316,32,,1,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Weather Station Message,6,366,1,,5,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Water Level Message,6,366,1,,5,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Wind Information Message,6,366,1,,5,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Water Flow Message (Seaway),6,366,1,,5,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Lockage Order Message (Seaway),6,366,2,,5,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Estimated Lock Times Message (Seaway),6,366,2,,3,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Version Message (Seaway),6,366,32,,1,in force,Saint Lawrence Seaway Development Corporation,9/3/02,
Passenger and Crew Count,6,367,16,,1,draft,USCG RDC,,
Collision alarm,6,421,16,,1,testing,"Sena and Vans Co., Ltd",,
Text telegram using 6-bit ASCII,8,1,0,,5,replaced,ITU-R.M.1371-1,1/1/98,31/05/2007
Text using 6-bit ASCII,8,1,0,,5,in force,ITU-R.M.1371-3,1/6/07,
Metreorological and hydrological data,8,1,11,,2,deprecated,IMO Circ. 236,16/05/2004,1/1/13
Fairway closed,8,1,13,,3,deprecated,IMO Circ. 236,17/05/2004,1/1/13
Extended ship static and voyage related data,8,1,15,,1,deprecated,IMO Circ. 236,19/05/2004,1/1/13
VTS targets (targets derived by means other than AIS),8,1,16,,1,in force,ITU-R.M.1371-1,1/1/98,
Pseudo-AIS targets,8,1,17,,3,deprecated,IMO Circ. 236,19/05/2004,1/1/13
VTS-generated/Synthetic targets,8,1,17,,3,in force,IMO Circ. 289,1/6/10,
Advice of waypoints (AWP) and/or route plan of VTS,8,1,18,,5,in force,ITU-R.M.1371-1,1/1/98,
Marine traffic signal,8,1,19,,2,in force,IMO Circ. 289,1/6/10,
Weather observation report from ship,8,1,21,,2,in force,IMO Circ. 289,1/6/10,
Area notice,8,1,22,,5,in force,IMO Circ. 289,4/3/11,
Extended ship static and voyage-related data,8,1,24,,2,in force,IMO Circ. 289,1/6/10,
Environmental,8,1,26,,5,in force,IMO Circ. 289,1/6/10,
Route information,8,1,27,,5,in force,IMO Circ. 289,1/6/10,
Text description,8,1,29,,5,in force,IMO Circ. 289,1/6/10,
Meteorological and Hydrographic data,8,1,31,,2,in force,IMO Circ. 289,1/6/10,
Inland ship static and voyage related data,8,200,10,,1,in force,EU,10/10/07,
EMMA warning,8,200,23,,2,in force,EU,10/10/07,
Water levels,8,200,24,,1,in force,EU,10/10/07,
Signal status,8,200,40,,1,in force,EU,10/10/07,
Intended route,8,219,1,,3,draft,Danish Maritime Authority,3/11/11,
Envelope/volume,8,224,50,,5,draft,GMV,1/1/13,
Lock Status,8,366,19,0,2,draft,USCG RDC,1/10/15,
Area Notice,8,366,22,,5,deprecated,USCG RDC,12/4/11,
Environmental Message,8,366,33,,5,deprecated,USCG RDC,19/04/2011,1/1/14
Waterways Management,8,366,35,,3,deprecated,USCG RDC,12/4/11,
Geographic Notice,8,367,22,2,5,testing,USCG RDC,,
Linked Text,8,367,29,1,5,testing,USCG RDC,,
Environmental Message,8,367,33,3,5,testing,USCG RDC,,
Waterways Management Message,8,367,35,2,3,testing,USCG RDC,,
Offshore Unit Dimensions,8,710,11,,4,draft,PETROBRAS,,
Text using 6-bit ASCII,25,1,0,,5,in force,ITU-R.M.1371-5,1/2/14,
Text using 6-bit ASCII,26,1,0,,5,in force,ITU-R.M.1371-5,1/2/14,
